A: 	ik hebben die een aan de bovenkant zitten ook een klein dinge die wijzen naar link 
A: 	en het lijken of hij een hand hebben waar soort van staafje in zitten met een parapluu 
B: 	waar zitten die uitein op 
B: 	oké ik denken dat ik misschien weten 
B: 	hebben hij bovenop ook iets 
B: 	oké een beetje aan de linkerkant van het midden 
B: 	ja en daarvoor hebben hij zegmaar een bal 
B: 	ja en dan links een stuk staaf 
B: 	rechts een stuk staaf 
B: 	en een rond aan de rechterkant 
B: 	ja oké 
B: 	ja dat zijn P 
A: 	ja de 
A: 	ik weten welk je bedoelen daar 
A: 	zes 
A: 	ik hebben die dat een man de ontstopper vasthebben 
A: 	ja 
A: 	vier 
A: 	ik hebben die een met dat 
B: 	deze hebben een balle rechtsvoor 
B: 	en links en rechts zitten daar een staafje aan 
B: 	en aan de rechterkant een cirkel 
B: 	en bovenop hebben hij een ja soort stok appel iets 
B: 	ja 
B: 	ja 
B: 	ja ja 
A: 	ja 
A: 	vier 
B: 	ja 
B: 	dat zijn H 
B: 	dit zijn die zuignap 
B: 	ja ik zoeken hem 
B: 	ja dat zijn C 
B: 	dit zijn de zuignap 
