B: 	deze hebben een driehoekuitsteeksel aan de linkerkant en boven een blok en een soort pylonne 
B: 	en aan de voorkant nog een rond 
B: 	en ver zijn die best wel simpel 
B: 	aan de bovenkant hebben die aan de rechterkant een een balk zeggen maar en aan de linkerkant iets wat lijken op een pionnetje of zo een 
B: 	nee hij hebben onder helemaal niks 
B: 	hij hebben twee zij Steeksels aan de zijkant en twee aan de bovenkant 
B: 	er zitten nee die steken zeggen maar uit als een driehoekigvormig balk 
B: 	en die zitten aan de linkerkant 
B: 	een beetje zo in het midden 
B: 	en aan de rechterkant zitten er in het midden komen er een bol uit 
B: 	ja 
B: 	ja ja ja die 
B: 	oké 
A: 	jij hebben nu het vierkant ja 
A: 	ja ja ja ja ja 
A: 	en dan aan de zijkant zo'n driehoek 
A: 	oké 
A: 	veertien 
B: 	ja 
B: 	oké 
B: 	dat zijn N 
A: 	ze hebben trouwens heel formaat veranderen 
A: 	ze hebben die formaat veranderen 
A: 	van de 
A: 	want er zijn een paar foto die we al hetzelfde hebben zeggen 
A: 	dat zijn best makkelijk nu 
A: 	ja dat zijn met met dat balk en dan zo'n ik weten niet veel wat je net zeggen zo'n zo'n misvormd waterdruppel 
A: 	ja 
A: 	zo'n bol ja 
B: 	ik hebben diegene met twee verschillend uitsteeksel aan de bovenkant 
B: 	een driehoek eruit en een rond aan de voorkant 
B: 	ja 
B: 	oké dit zijn G 
B: 	ik hebben diegene met twee verschillend uitsteeksel en een bol en een driehoekje aan de zijkant 
B: 	ja denken ik 
A: 	ja 
B: 	ja dat zijn J 
A: 	en die die driehoek 
A: 	oké 
A: 	negen 
A: 	ja dat dat dat neus dat bal zeggen maar en dan één balk en één kromen waterdruppel 
A: 	ja 
A: 	vijf 
A: 	ja neus en dan balk en misvormde waterdruppel 
A: 	en dan zo'n driehoek 
A: 	van mij zijn rechts 
