A: 	ik hebben nu de mok met een soort van steuntje aan de achterkant die lijken op een paal te staan en het zijn een soort van vier of rechthoek 
A: 	en er zitten twee hoe zeggen je dat handvaten waarvan de linkerkant iets kort zijn en de rechterkant lang 
A: 	oké 
B: 	o bij 
B: 	ik a ja jij jij zien het zo ik hebben ik hebben dat als een soort zijwaarts peper en zout vat denken ik dus 
B: 	kunnen je daar iets bij voorstel of en dan aan de linkerkant zijn hij kort en aan de rechterkant zijn hij dan wat lang en dan inderdaad er achter zo'n soort paneel dat een beetje omhoog worden houden 
B: 	ok K 
A: 	ja 
A: 	dat zijn nummer negen hier 
B: 	ja dit jij hebben die als een grieks pilaar peper en zout vaa zonnepaneel aan de achterkant 
B: 	ja 
B: 	o ja F 
A: 	dit zijn de mok waarbij aan de achterkant een soort van steunpilaart staan 
A: 	op een paal met een vierkant blok daaraan vast 
A: 	en link zitten een handvat wat hetzelfde zijn als rechts alleen rechts lang 
A: 	oké 
B: 	peper en zout de balk zonnepaneel 
A: 	ja 
A: 	nummer drie zijn dat hier 
B: 	ja met het zonnepaneel 
B: 	L 
A: 	ja gelijk 
A: 	dit zijn de mok met dat rugsteun achterin 
A: 	die op een paal staan met een vierkant daarachter 
A: 	met handvaet er die rechter lang zijn dan links 
A: 	oké 
B: 	grieks pilaar peper en zout met zonnepaneel 
B: 	o we hebben weer nieuw plaat inderdaad nieuw locatie 
B: 	of peper en zout met het zonnepaneel 
B: 	ok 
A: 	ja 
A: 	even kijken 
A: 	nummer vijf 
