A: 	okeeen je hebben een soort van lepeltje laten maar zeggen in de emmer en daaronder zien je een bolle die in een soort pin 
A: 	aan de rechterkant zitten een bolle die in een soort balk zijn geschoven 
A: 	nee aan de rechterkant 
A: 	rechterkant zijn een balle die in een soort balk zijn geschoven 
A: 	en in de emmer of in dat dat bak zitten ook nog een soort ja dinge 
A: 	ja 
A: 	en er zitten een bolle soort van op 
A: 	nee nee nee in de balk geschoven laat maar zeggen 
A: 	je hebben een paar afbeelding met zo'n bolle 
A: 	en ergens zitten dat bolle aan de rechterkant 
A: 	en die zitten in een soort pin 
A: 	ja 
A: 	en kloppen het dat daarop boven ook nog een soort van toe 
A: 	appelsteel ja lepel in de emmer ja 
A: 	dat zijn hem 
A: 	ja je moeten gewoon noemen m en dan op een nummer 
A: 	want ze horen dat je nu m dadelijk m zeggen 
B: 	ja 
A: 	nee 
A: 	want ik zien het nummer er ik zien het namelijk erbij staan 
B: 	een bal ja 
A: 	ja één van de vier maken niet uit 
A: 	nee en dan gaan hij automatisch naar mij 
B: 	ja 
B: 	ik hebben een vermoeden 
A: 	yes 
B: 	zitten er nog een schijf toch 
B: 	ja 
B: 	okee 
B: 	ik denken dat ik hem wel weten 
B: 	ik gaan voor a 
A: 	ja 
A: 	nummer twee 
A: 	ja twee 
A: 	ja dit zijn weer dat die we in het begin hebben dat bolle die in een soort balk zijn gekruisigd aan de linkerkant 
A: 	nee aan de rechterkant sorry 
A: 	ja 
A: 	ja die en het appelsteel 
A: 	ik moeten hem even zoeken 
A: 	waar zien ik hem 
A: 	ja dat zijn nummer veertien 
B: 	ah we komen nu bij het kop met eineus met een staafje erdoorheen 
B: 	horizontaal en aan één uitein dus een schijf 
B: 	ja met het pluimp bovenop ja 
A: 	ja weer de neuspiercing 
A: 	we noemen het de neuspiercing 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	dat zijn voor mij f 
A: 	waar zijn die 
A: 	elf 
B: 	koffie nodig 
B: 	dit zijn de eineus met een horizontaal balk door zijn neus heen en aan het uitein een een schijf 
B: 	ja 
B: 	ja 
B: 	waar zijn je waar zijn je 
B: 	ah 
B: 	dat zijn voor mij nu i 
B: 	kop met eineus met daardoorheen ja dus die werkbank 
B: 	waar hebben je het over of springplank 
B: 	Springstok ja 
