B: 	wat 
B: 	een hondenkoek met een trompet 
B: 	ja dat zijn b 
B: 	deze hebben voor jou dat hondenkoek met die antenne eraan 
B: 	trompet 
B: 	ik vinden het veel een schoorsteen 
B: 	trompet kunnen ook 
B: 	d 
A: 	deze hebben ook een dienblad dienblad eigenlijk in de hand zullen je kunnen zeggen een cirkelvormig dienblad 
A: 	en daarnaast een uitstulping met een uitwaaien 
A: 	zullen zullen je dat zo kunnen zeggen 
A: 	ik zien daar veel zo een uitlopenen alsof er water uitkomen 
A: 	ja okee misschien zijn dat een nagel 
B: 	trompet en hondenbrok 
A: 	ja 
A: 	zeven 
B: 	schoorsteen 
B: 	ik kunnen hem niet vinden 
B: 	ja ik weten welk je bedoelen maar 
B: 	daar 
B: 	I 
A: 	deze spuugt water hebben een dienblad vast 
B: 	Hondenbrok en trompet 
A: 	twaalf 
A: 	waterspuger met dienblad 
A: 	een 
