A: 	oké deze hebben een best wel lang balk voor zich staan 
A: 	en een bolle bovenop 
A: 	ja 
B: 	oké 
B: 	ja 
B: 	zijn d bij mij 
A: 	de bol bovenop en dan die balk er ervoor 
A: 	oké dat zijn bij mij vijftien 
B: 	deze hebben een rechthoekig staaf aan de voorkant en een bol bovenop en stangen aan allebei de kant uitsteken 
B: 	ja 
B: 	ja 
B: 	volgens mij komen ze allemaal vaak voorbij 
A: 	deze hebben de bol bovenop en dan de die groot balk aan de voorkant 
A: 	en die twee dinget aan de zijkant 
A: 	ja dat zijn bij mij zes 
B: 	ja 
B: 	dat zijn bij mij L 
A: 	deze hebben de bol bovenop en dan de balk daarvoor 
B: 	deze zijn met het de groot rechthoek aan de voorkant en een bol bovenop en een stang erdoorheen 
B: 	ja 
B: 	ja zijn langwerpig 
B: 	ja 
A: 	ja dat zijn nummer drie 
B: 	ja 
B: 	dat zijn bij mij J 
B: 	dit zijn met die rechthoek aan de voorkant en een bol bovenop 
B: 	en een stang erdoorheen 
B: 	weer 
