B: 	ja soort van spijker of zo maar dan 
B: 	ok dat zijn L 
A: 	oké deze hebben ja ik vinden het een soort een soort dienblad 
A: 	zo'n rond iets dat die aan het vasthouden zijn en dan hebben die link hebben die echt zo'n groot ja trompetachtig iets weten je wel ? echt zo'n uitsteeksel 
A: 	ik weten niet of 
A: 	snapen je hem 
A: 	ja ja 
A: 	ja 
B: 	ja dit zijn zo'n soort van kop met een dienblad en links en met zo'n spijker 
A: 	ja oké even kijken 
A: 	ja ik zien hem 
A: 	nummer zeven 
B: 	ja even kijken waar hij staan 
B: 	dat zijn C 
A: 	dit zijn weten je wel ? met dat dienblad en die spijker 
B: 	ja dit zijn met dat dienblad en die spijker 
B: 	ja met die spijker 
B: 	ok dat zijn A 
A: 	even kijken 
A: 	ah dat zijn nummer één 
B: 	ja dit zijn met dat dienblad en die schroef Spijker 
A: 	dit zijn met dat dienblad en die spijker 
A: 	even zijn nummer dertien 
