A: 	ok hoe hoe zien die balk aan de bovenkant er uit ? zitten er één op de bovenkant 
A: 	ok en zijn het ding wat aan de voorkant zijn het steken er wel aan allebei de kant een klein beetje iets uit 
A: 	en hij zijn wel echt heel compact toch 
A: 	ok dat zijn acht 
B: 	ik hebben er nou één met ja je hebben een 
B: 	bovenop hebben je een soort van kubus liggen 
B: 	en dan hebben je aan de zijkant ja hoe leggen je dat nou uit 
B: 	er steken zeggen maar ook een een driehoekje uit en daarbovenop zitten dan nog ook een dun staafje en dan hebben je ook aan de zijkant ook nog twee 
B: 	ja 
B: 	een balk erop inderdaad en dan aan de zijkant hebben je nog twee ja het lijken een beetje op vleugeltjes of zo 
B: 	dat zijn gewoon 
B: 	inderdaad een liggen balk ja 
A: 	o ja ik haten dit ding er zitten een balk bovenop het kop en er zitten zo'n V aan de voorkant 
A: 	aan de zijkant hebben hij een soort vin of zo die ook een beetje rond lopen 
A: 	ja 
A: 	ja ja ja 
A: 	ja 
B: 	even kijken 
B: 	ja 
B: 	en dan nog die twee vleugelt soort van 
B: 	inderdaad ja 
B: 	dat zijn E bij mij 
A: 	ja dat zijn één 
A: 	dit zijn de heel compact 
B: 	nou hebben we weer die een met die balk erbovenop zeggen maar en dan die twee vleugelt en weer dat 
A: 	ja dat zijn zestien 
A: 	dit zijn die heel compact 
B: 	ja even zoeken 
B: 	ja 
B: 	dat zijn bij mij E 
B: 	weer met die balk die erbovenop liggen zeggen maar met die twee vleugelt en dat uitstekend 
B: 	even zoeken 
B: 	ja bij mij zijn die zijn dat O 
