A: 	ja 
A: 	even kijken die staan nummer vier 
B: 	dit zijn de tulp die jij zeggen dus in ieder geval dan hebben je het vierkan rechts Bovenin klein vierkan in het midden 
B: 	en wat naar links rechthoekigachtig ding en dan die slurf 
B: 	lang ding omheen 
B: 	oké 
A: 	wijnglas 
B: 	ja 
B: 	ja ja ja 
B: 	ja sorry A who oké A 
A: 	nummer tien 
A: 	het wijnglas weer 
B: 	oké dit zijn de tulp 
A: 	even zoek ja nummer vier 
A: 	het wijnglas 
B: 	de tulp ja dat zijn L 
B: 	dit zijn de tulp 
B: 	ja F 
