A: 	ja zeven 
B: 	het voelen voor mij alsof de onderkant soort van glas gekruld iets zijn alsof het een sorbert zijn 
B: 	drie blok 
B: 	twee blok erop en één uitstekend 
B: 	ja 
B: 	staan op een driehoek 
A: 	dit zijn het wijnglas 
B: 	ja 
B: 	dat zijn 
B: 	de sorbetachtig iets 
B: 	ja 
B: 	dat zijn I 
A: 	okee 
A: 	tien 
A: 	het wijnglas 
B: 	een tafel met een gekruld ding erboven 
B: 	alsof hij aan het staan zijn 
B: 	drie object erop 
B: 	op de bovenkant 
B: 	soort van sorbet 
B: 	driehoekje aan de onderkant 
A: 	twee 
A: 	de het wijnglas 
B: 	ja die op het driehoek staan 
B: 	ja 
B: 	M 
B: 	driehoek staan op driehoek 
B: 	gekruld aan de onderkant 
B: 	drie vierkant 
B: 	twee vierkant en een lepeltje aan de bovenkant 
B: 	staan op een driehoek 
B: 	ja swirl 
B: 	ja 
B: 	B 
