A: 	de mok hebben aan beide kant een soort van staafachtig dinget erdoorheen 
B: 	ja 
B: 	en zijn het dan dat er nog wel allemaal ander uitsteeksel 
A: 	en echt aan de voorkant hebben zitten er een een een blok een soort van Buis nee niet buis want het zijn een balk 
B: 	zeggen maar één 
B: 	ja 
B: 	ja 
A: 	zitten aan de voorkant van de mok 
B: 	ja ja dat zijn D 
A: 	en dan zitten erbovenop een rond bol 
A: 	en aan de linkerkant ook een soort L'etje wat erdoorheen gaan en die komen er aan de ander kant uit 
A: 	ja 
A: 	nee 
A: 	ja 
A: 	kloppen en er zitten bovenin echt een bal die erin zakken zeggen maar 
A: 	een ei 
A: 	ja ja 
A: 	oké 
A: 	ja 
A: 	ja nummer vijftien 
B: 	even kijken 
B: 	ja volgens mij hebben we deze ook al hebben dat zijn weer die basketbal 
B: 	ja 
B: 	dat zijn L 
A: 	deze hebben dat ei bovenop liggen een balk aan de voorkant 
A: 	en dan een soort Lvormig ding er link in en aan de rechterkant komen nog een klein staafje eruit 
B: 	ja dit zijn die basketbal 
A: 	ja 
A: 	ja nummer zes 
B: 	de basketbal oké 
B: 	J 
B: 	de basketbal 
A: 	dit zijn met het ei die daarboven vliegen zweeven 
A: 	met die balk vooraan 
A: 	en die Ldinge links en dan een kort balk rechts 
A: 	ja drie 
