A: 	ja en een soort van paddenstoel bovenop 
A: 	ja dat zijn bij mij nummer twee 
B: 	dit zijn de robot 
B: 	met een antenne 
B: 	ja en twee Minecraftogen 
A: 	dit zijn die een weer met dat paddenstoel bovenop en dan dat heel groot vierkant aan de rechterkant erbij en die twee stapel aan de linkerkant 
A: 	ja nummer en dat vierkant vlak 
A: 	ja nummer negen 
B: 	oké G 
B: 	de robot 
A: 	ik hebben die met het paddenstoel bovenop 
B: 	oké d 
A: 	ja 
A: 	nummer één 
A: 	ik hebben die een met die paddenstoel bovenop en dat vierkant vlak aan de rechterkant 
B: 	robot 
B: 	B 
