B: 	het zijn eigenlijk een soort van het het het zijn een soort van tafel dat door het midden van van de van de bovenkant van de van het dinge gaan 
B: 	en daar op dat tafel aan de rechterkant zitten een soort van bak komme 
B: 	en niet echt een rond kommet 
B: 	het hebben twee het hebben dus een soort van uitsteeksel aan de voorkant en het gaan door het voorwerp zelf heen 
B: 	en aan de voorkant zitten dan twee soort van tafelpo lijken het wel of twee van die staaf die naar beneden wijzen 
B: 	ja één er ja ja kloppen 
A: 	de plat ding aan de bovenkant 
A: 	en twee poo 
A: 	nuh je dus het lijken alsof hij een soort van in een rek hangen 
A: 	ja 
A: 	ja precies 
A: 	en zo'n bak ernaast nog zo 
A: 	ik weten niet precies wat het zijn 
A: 	maar sure 
A: 	dat zijn negen 
B: 	ja waar zitten hij 
B: 	l 
A: 	ja dit zijn dat datgeen dat in dat rek of dat plateau aan de bovenkant weten je wel 
A: 	ja 
A: 	en dat gek 
A: 	ja precies 
B: 	ik hebben dat tafel met het bak 
B: 	die 
B: 	ja ja ja één poot ervoor één poot erlangs 
B: 	ja 
B: 	waar zitten die 
B: 	o 
A: 	ja sure ja nee duidelijk zeven 
B: 	okeeen ik hebben dat tafel met die een poot ervoor en de een ander poot aan de rechterkant 
A: 	oké ja dit zijn weer in het rek hangen , dat in dat rek hangen 
B: 	ja e 
A: 	ja 
A: 	oké dat zijn twee 
A: 	en dit zijn weer in dat rek 
