A: 	en rechts een soort van schepje 
A: 	een klein stok met een 
A: 	ja dat zijn het 
A: 	ja en dan ja en dan met zo'n rechthoek erin zeggen maar zo'n breed 
A: 	ja okee 
A: 	ja dat zijn voor mij nummer tien 
B: 	deze die zijn op zich wel lastig uit te afleggen denken ik 
B: 	maar een koffiekopje met een soort van afzuigkapneus aan de linkerkant 
B: 	bovenop zitten er een rechthoek 
B: 	ja het zijn geen vierkant object een rechthoek Bovenin 
B: 	en aan de rechterkant van het kop nou heel even goed kijken hoor want dat zijn ja een soort 
B: 	wat zullen het zijn 
B: 	nee het zijn niet niet diegene met het dienblad 
B: 	want ik weten wel welk je dan bedoelen 
B: 	ja het zijn een ander 
B: 	even denken 
B: 	hoe gaan ik dit goed uitleggen 
B: 	ja het zijn een hij komen veel in de buurt van een neus zoals wij die normaal zullen hebben zeggen maar 
B: 	het zijn veel een mensenneus dan de neus die we tot zover hebben hebben 
B: 	dus het zijn een beetje een soort van ja 
B: 	ja het zijn het zijn heel deze vinden ik best wel pittig 
B: 	ja precies 
B: 	ja 
B: 	een staafje met een soort van afvoerdinge 
B: 	ja precies ja ja dat ja 
A: 	deze zijn die met de weinig uitstulping met die vierkant erin die lang vierkant 
A: 	ja 
A: 	ja 
A: 	yes ja dat zijn vijf 
A: 	dit zijn die met die weinig vorm de klein met de vierkant erin 
A: 	ja 
B: 	ja ja 
B: 	staan daar een rechthoekig ding bovenop 
B: 	een kap 
B: 	ja dan gaan ik voor h 
A: 	ja dat zijn veertien 
B: 	o jee hier hebben we hem weer horen de stoffer en blik 
B: 	het stoffer en blik kopje met een rechthoekig object bovenin 
B: 	en een afkapdinge aan de linkerkant 
B: 	dat zijn even zoeken hè ? ja 
B: 	maar ik merken wel dat je op een geven moment dan hebben je die cue een beetje te pakken zo van ja dit hebben we zo communiceeren 
B: 	ja leuk 
A: 	dit zijn de klein met de rechthoek bovenop 
B: 	ja even kijken waar zijn je waar zijn je 
B: 	ik merken dat mijn aandacht zeggen maar nu echt naar het zoeken gaan 
B: 	het zijn dit zijn c 
B: 	dit zijn de stoffer en blik met een rechthoekig figuur bovenop weer 
B: 	neusje 
B: 	where did it go ja 
B: 	dat zijn c 
