A: 	even kijken twee kegel aan de zijkant 
A: 	paal dat erboven uitsteken 
A: 	ja zo'n soort van Antennetje zijn het 
A: 	en die twee ding aan de zijkant zijn een soort vierkant die telkens klein worden 
A: 	oké 
A: 	ja 
A: 	ja ja ja ik vinden het op een soort van ruimteschip lijken of zo het zijn in ieder geval dat kop met dan een soort van gebouw erboven als je het ja 
A: 	dat zijn acht 
B: 	dit kop hebben aan de bovenkant een balk zeggen maar horizontaal 
B: 	en dan aan de rechtervoorkant zitten een dun rond staafje met een half doorzichtig 
B: 	Driehoekstaaf of zo eronder 
B: 	en dan aan helemaal links daarvan zitten een soort van conisch vorm of zo 
B: 	en aan de rechterkant ook die zien je dan nog net zeggen maar 
B: 	ja dat zijn ook de enig met een balk aan de bovenkant 
A: 	dit zijn ja ik vinden het een soort van Spaceschip maar dat zijn dat komme met dus dat soort gebouw aan de bovenkant en twee van die vleugel aan de zijkant 
A: 	ja ja ja ja oké ja eens even kijken waar die in principe uithangen ja dat zijn één 
A: 	dit zijn die met dat gebouwt bovenop 
A: 	veel mijn spaceship 
B: 	even kijken horen waar zijn die 
B: 	die balk bovenop 
B: 	en dan het zijn net twee van die vleugel aan de zijkant 
B: 	oké ja dat zijn E 
A: 	yes yes yes yes oké 
A: 	dat zijn zestien 
B: 	dit zijn die ander vogel met die balk aan de bovenkant 
A: 	dit zijn mijn spaceshuttle 
A: 	met 
B: 	ja even kijken waar die staan ja dat zijn E 
B: 	dat zijn die ander vogel met die balk bovenop 
B: 	waar zijn die 
B: 	ah dat zijn O 
