B: 	okee 
B: 	link onderaan zitten een soort het zijn een soort van een één een pyramide alleen daarboven zijn net net het het kop afgescheurd 
B: 	en zijn een het worden steeds van klein naar groot groot naar klein gaan het naar boven 
B: 	de Linkeronderkant 
B: 	bovenop zitten eigenlijk een een langwerpig rechthoekig doos gewoon plat liggen hij erop dus niet omhoog maar gewoon plat 
B: 	en aan de 
B: 	ja zo'n soort van ministaafje dat ja 
B: 	liggen balk bovenop 
B: 	ja ja o 
A: 	ja 
A: 	ja 
A: 	nee 
A: 	ja 
A: 	precies dat zijn ook een soort goo 
A: 	en in dat goot lijken nog zo'n rond 
A: 	ja 
A: 	cilinder 
A: 	achten 
B: 	hier hebben je aan rechthoekig plattig plat doos of een langwerpig plat doos bovenop 
B: 	zo'n soort van 
B: 	en dan heel klein ministaafje of nou heel dun staafje aan de rechterkant 
B: 	die op een waar staan het op 
B: 	weten niet waar het op staat 
B: 	ja en die linker half die pyramide die voor kunnen het top worden afgeschoven aan de linkerkant 
B: 	en dan bovenop zo'n langwerpig 
B: 	ja een scherp ding 
B: 	die half ja ja 
B: 	ik zoeken hem 
B: 	waar zijn die half pyramide 
B: 	ja 
B: 	wachten scherp ding ? niet die twee 
B: 	wachten ik hebben hem verkeerd om 
B: 	kunnen je hem nog een keer zeggen scherp ding aan de rechterkant 
B: 	ja aan de ja sorry 
B: 	ja dan weten ik welk je bedoelen moeten hem even vinden nog 
B: 	ja ik zien hem 
B: 	h 
B: 	die dat scherp ding aan de rechterkant en dan die half pyramide hoofd eraf aan de linkerkant 
B: 	ja 
B: 	ik weten denken ik welk je bedoelen 
B: 	waar zitten hij dan 
B: 	ah ja J 
A: 	deze hebben een soort goo aan de voorkant 
A: 	een beetje naar de rechts keren , of een beetje naar rechts draaien 
A: 	en op dat goot staan een ja één 
A: 	een houten stok ja 
A: 	ja 
A: 	en aan de linkerkant een soort rondvormig vleugelachtig ik weten niet 
A: 	ja nummer dertien 
A: 	dit zijn met dat goo aan de rechter voorkant met het staafje in het goot 
A: 	ja 
A: 	ja 
A: 	ja ja ja ja 
A: 	nummer dertien 
A: 	deze hebben een goo met het met het rechtstaand staafje en bovenkant dat langwerpig vierkantje 
