A: 	nu het zijn eigenlijk de wc-pot maar dan de achterkant er lopen een buis doorheen 
A: 	met een bobbel aan de bovenkant en de staaf van de pot zitten aan de voorkant als we 
A: 	ja 
A: 	ja en één 
A: 	aan de voorkant , ja 
B: 	oké 
B: 	ja 
B: 	denken dat ik hem weten , hebben hij aan de voorkant ook een staaf 
B: 	ja 
B: 	ja precies 
B: 	ja 
B: 	en een balle erbovenop 
B: 	ja oké dan zijn het O 
A: 	volgens mij zijn dat de één zestien dan 
A: 	vijf ronde 
A: 	oké 
A: 	nummer dertien 
B: 	deze hebben een balle op de bovenkant 
B: 	en een recht staaf aan de voorkant 
B: 	ja ja 
A: 	een bak met bovenop een ei , links en rechts zitten een een soort van pijp , en de , waar die op leunt , de vierkant , zitten aan de voorkant 
B: 	ah ja korfbal 
B: 	ja ja dat zijn L 
A: 	nummer zes 
B: 	dit zijn die korfbal 
B: 	bal bovenop staaf 
A: 	bovenop een ei doorboren door een buis , aan de voorkant een een steun , een pilaar 
A: 	ja 
A: 	nummer veertien 
B: 	ja 
B: 	G 
B: 	dit zijn de korfbal 
