A: 	die pinokkio 
A: 	ja 
A: 	ja die neuspiercing 
A: 	ja 
A: 	ja 
A: 	ja twee ja 
A: 	ja 
A: 	dan weten ik welk je bedoelen dat zijn bij mij veertien 
B: 	even kijken deze hebben aan de bovenkant twee steelt die uitsteken waarvan één 
B: 	ja zullen je kunnen zeggen dat het een soort van roerhout zijn wat je in de verfpot steken 
B: 	en en 
B: 	ja 
B: 	ja driehoekje aan de zijkant en aan of aan de linkerkant en aan de rechterkant een soort van bolle 
B: 	ja 
B: 	ja 
B: 	bolle 
B: 	driehoekje aan de zijkant 
B: 	ja 
B: 	dat zijn voor mij nummer N of letter N 
A: 	dit zijn dat gezicht met die die rond neus 
A: 	die twee tentakel bovenop één rechthoekig en de ander ja 
A: 	beetje veelvormig zo'n kegel met een rond eigenlijk 
A: 	en dan nog naar de zijkant een driehoekig uitsteeksel 
B: 	ja 
B: 	dit zijn wederom die met het verf spatel en het 
A: 	ja zo'n 
A: 	ja zo'n driehoekje nog 
A: 	ja 
A: 	ja deze hebben ik als clown noemen 
A: 	dat zijn negen bij mij 
B: 	ja 
B: 	ja 
B: 	dat zijn G voor mij 
B: 	weer de verf spatel 
A: 	ja dit zijn voor mij dus die clown dus die bolneus die twee tentakel omhoog en één aan de zijkant 
A: 	één zijn die bol met die kegel en recht staaf omhoog 
A: 	en de ander de driehoek aan de zijkant 
A: 	oké dus met die die Bolneus 
A: 	even zoeken 
A: 	twee tentakel omhoog één naar rechts 
A: 	dat zijn nummer vijf 
B: 	J 
A: 	dit zijn mijn clown 
A: 	dus met de bolneus twee omhoog en één 
