A: 	ja 
A: 	ik hebben hem 
A: 	en dan 
A: 	ja 
A: 	negen 
B: 	dit zijn het theekopje ik noemen het maar een theeko die het weinig uitsteeksel hebben 
B: 	hij hebben eigenlijk geen geen staven eruit 
B: 	bovenop zitten een soort van rechthoek 
B: 	vrij klein 
B: 	en link zitten een soort van ja kapachtig vorm 
B: 	ja ik zien het niet heel goed 
B: 	ja een soort van driehoeksstaaf met een stok erin 
B: 	het zijn de klein zeggen maar 
B: 	ja ja erbovenop ja 
A: 	bovenin komen er een vierkant uit 
A: 	en dan zitten er link nog een ja rondjeachtig en rechts zitten ook een klein figuur 
A: 	die zijn een beetje donker 
A: 	Bovenin zijn een zegmaar een soort van 
A: 	ja balkje wat erop liggen 
A: 	ja 
A: 	ja 
B: 	ja 
B: 	ja ik hebben hem denken ik dat zijn I 
A: 	ja en dan zitten nog 
A: 	zitten nog een half dinge 
A: 	ja 
A: 	drie 
B: 	dit zijn weer de klein met zonder uitstulping en de de de rechthoek bovenop 
A: 	bovenop liggen een dat vierkant dinge , en aan de zijkant zitten dan zo'n half dinge eraan links 
A: 	ja link 
A: 	en rechts zitten nog een heel dun dinge met nog iets eronder 
B: 	ja erbovenop toch ? ja 
B: 	dat zijn m 
A: 	ja 
A: 	ja 
A: 	ja 
B: 	de klein weer met een rechthoek bovenop 
A: 	ja ik hebben hem 
A: 	en die dat ander dinge aan de 
A: 	ja 
A: 	achten 
B: 	ja dat zijn d 
A: 	dat vierkant wat er boven uit komen met dat attachment dinge en dat ander 
