B: 	oké deze staat op een driehoek met een draaien ding naar dat mokje toe zeggen maar 
B: 	en aan de bovenkant zitten er twee vierkant uit en aan de linkerkant iets Scheefs 
A: 	eigenlijk een soort van trofee 
A: 	ja 
A: 	dat zijn 
A: 	ja dat zijn nummer vier dat zijn de enig eigenlijk die op een beetje op een trofee lijken toch 
A: 	ja dat zijn nummer vier 
B: 	ja ja 
B: 	ja 
B: 	ja 
B: 	oké 
B: 	dat zijn A 
A: 	dit zijn eigenlijk de trofee 
B: 	oké ik hebben diegene die op een driehoek staan met draaien ding 
A: 	ja die zijn het makkelijk 
A: 	even kijken ja dat zijn nummer tien 
B: 	ja 
B: 	ja dat zijn L 
A: 	en dit zijn eigenlijk de trofee 
B: 	ik hebben diegene met de driehoek en dan draaien en daarop staan die mok 
B: 	ja dat zijn F 
A: 	ja dat zijn handig hè ? ja even kijken dat zijn nummer vier 
A: 	trofee 
