B: 	een soort blokkentoren 
B: 	oké 
B: 	dan zijn het E 
A: 	oké 
A: 	nou hij hebben aan al kant hebben die wat 
A: 	hij hebben een één ja één 
A: 	ja hij hebben een lepel 
A: 	hij hebben zo'n staart 
A: 	nou 
A: 	ja en als het een man zijn zijn dan 
A: 	ja 
A: 	rechts 
A: 	die ja 
A: 	gaan ik hem even zoeken 
A: 	ja dat die lepel en een blok 
A: 	ja 
A: 	ja ja precies 
A: 	elf 
B: 	dit zijn die twee waarvan jij zeggen met die joysticks 
B: 	twee van die joysticks één boven één links en dan aan de rechterkant een blok een Blokkendoos 
A: 	dit zijn die zijn het man weer 
A: 	ja 
A: 	waar zijn de man blijven 
A: 	ja negen 
B: 	ja dat zijn J 
B: 	dit zijn joystick boven joystick link 
B: 	blokkentoren rechts 
A: 	het man 
A: 	vier 
B: 	de joystick 
B: 	B 
B: 	joystick boven joystick link 
