A: 	oké ja 
A: 	ja het zijn er twee 
A: 	de onderste 
A: 	en dan met die lang die cilinder die zo eruit steken 
A: 	ja en dan twee van die ding erop en dan 
A: 	ja 
A: 	oké dan zijn dat nummer zes 
B: 	oké 
B: 	dan moeten jij volgens mij net drukken 
B: 	oké 
B: 	oké oké ik hebben weer het vierkant nu 
B: 	ja 
B: 	nou het zijn dus er zitten een vierkant in het midden 
B: 	ik weten niet horizontaal 
B: 	en aan de voorkant zitten er zo'n dik cilinder hebben ik het noemen 
B: 	ja ja 
B: 	bovenop twee van die dinget 
B: 	oké tof 
A: 	dit zijn die een met dat dat die schijf recht doorheen aan de onderkant 
A: 	met die raar slurf aan de voorkant 
A: 	met die twee dingetjes ook zo op dat 
A: 	ja met die slurf 
A: 	ja 
A: 	dat zijn dertien 
B: 	even zoeken 
B: 	ja ja ja dat zijn C 
A: 	dit zijn dat kop met dat ding er gewoon recht doorheen die bal die plaat en dan die raar slurf eraan 
B: 	dit zijn de met een vierkant doormidd snijden met de slurf 
B: 	bovenop twee van die 
B: 	ja 
B: 	ja 
B: 	ja ja J 
A: 	ja 
A: 	nummer negen 
A: 	met die slurf met dat ding erdoorheen 
B: 	dit zijn de met het plateau doormidd 
B: 	met de slurf dus twee voelsprietjes bovenop 
B: 	ja dat zijn N 
