B: 	oké 
B: 	er zitten een vlak doorheen 
B: 	en er zitten twee dinge bovenaan uit 
B: 	ja 
A: 	nou hebben jij het rond 
A: 	in zo'n hand of zo 
A: 	ja oké 
A: 	ja 
A: 	oké dat hebben ik 
A: 	en zo'n zo'n zo'n neusachtig 
A: 	oké 
A: 	dan zeggen ik zes 
B: 	ja ja 
B: 	ja dat zijn C 
B: 	oké ik hebben diegene met die plaat erdoorheen en dan twee uitsteeksel en nog twee in het midden zeggen maar 
B: 	oké 
B: 	ja 
B: 	ja dat zijn J 
A: 	de ja de zwaaien robot zeggen maar 
A: 	met met dat met dat hoekig hand 
A: 	en zo'n slurfje 
A: 	ja 
A: 	ja en dan de slurp 
A: 	dertien 
B: 	oké bij mij ik hebben die met de er erdoorheen en dan twee klein uitsteeksel erboven 
B: 	en zo'n soort van ik vinden het een pijp lijken 
B: 	oké 
A: 	die die hand zeggen maar 
A: 	en dan twee 
B: 	ja dat zijn N 
A: 	ja 
A: 	negen 
A: 	die zwaaien robot 
A: 	met een slurf 
