B: 	ja 
B: 	aan de zijkant 
B: 	ja 
B: 	ja oké dan zijn het E 
A: 	ja ik hebben het vierkan nu 
A: 	ja wat ik in het begin denken zeggen maar het hebben ook die die twee zeggen maar 
A: 	ei die lang ei zeggen maar maar dan één op zijn kop en één als een neus 
A: 	ja het hebben zeggen maar ook of ja wat ik toen denken van die legoblokk zeggen maar 
A: 	weten je er zijn er één die zeggen maar twee oog hebben 
A: 	van die heel uit uitgeperste oog zeggen maar 
A: 	ik weten niet of je die ergens zien 
A: 	gewoon om als voorbeeld te nemen en het hebben zeggen maar zo'n zo'n plat kant aan de zijkant 
A: 	zo'n vierhoek 
A: 	vierkant bedoelen ik 
A: 	ik weten niet of je die ergens zien 
A: 	oké dan gaan we 
A: 	ja een een waterdruppel zeggen maar regendruppel 
A: 	maar dan zijn het twee in in één plaat 
A: 	dus zo'n gewoon zo'n regendruppel maar dan twee 
A: 	ja 
A: 	en dan hier ergens 
A: 	ik denken een neus een soort Pinokkioachtig neus 
A: 	ja 
A: 	juist 
B: 	oké deze hebben een dit zijn die plantje in een pot 
B: 	en dan ook één aan de zijkant en die toren aan de voorkant 
A: 	en dan ja met die blok hier zo van klein 
A: 	oké 
A: 	elf 
B: 	ja ja ja dat zijn J 
B: 	ik hebben diegene met die plant in die pot en dan ook nog de zo'n zelfde vorm aan de zijkant 
B: 	en zo'n toren aan de voorkant 
A: 	oeh ja twee twee waterdruppel 
A: 	en dan blok van klein naar groot of groot naar klein afhangen eraf hoe je het zien 
A: 	ja 
B: 	plant 
B: 	ja ja ja ja ja 
B: 	dat zijn B 
A: 	negen 
B: 	oké ik hebben die plant in die pot met diezelfde uitsteeksel en dat toren 
A: 	de twee waterdruppel zo'n neus en een kop 
A: 	en dan die blok zo 
A: 	die van klein naar groot 
A: 	ja 
A: 	die zijn nummer vier 
