B: 	oké 
B: 	hij hebben hier ook zo'n zo 
B: 	ja aan de onderkant 
B: 	ja 
B: 	dat zijn bij mij nummer M 
A: 	yes 
A: 	nou deze hebben een heel apart vorm aan de bovenkant zitten 
A: 	het zijn een soort van ja wachten aan de onderkant zitten in ieder geval een een soort een buigen 
A: 	een buigen vorm 
A: 	die zeggen maar naar naar ons toe buigen 
A: 	aan de linkerkant of er zitten aan de voorkant zitten een soort van ja een cilinder die uitsteken of een soort van neus of zo 
A: 	en aan de linkerkant ook een buigen arm 
A: 	en ja ik zullen het bijna omschrijven als een strik of zo wat achterop boven op het hoofd zitten 
A: 	of nou ja 
A: 	ja ja het zijn inderdaad een ruit twee ruit eigenlijk die tegen mekaar aan zitten zo 
A: 	ja of ja 
B: 	ik hebben dat een ding met dat die twee vierkant en die waar twee soort van verrekijker uit komen met dat sik 
B: 	ja 
B: 	ja dat zijn h 
B: 	ik hebben met dat sik 
A: 	even kijken twee twee armp zeggen je of 
A: 	ja oké dit zijn de de strik ja dat zijn wel dus dat zijn negen voor mij 
B: 	D 
B: 	met het sik 
A: 	oké dit zijn die een met de strik weer 
A: 	en de ja 
A: 	yes 
A: 	ja ja 
A: 	oké 
A: 	dat zijn elf 
A: 	de dit zijn de strik weer 
A: 	yes 
A: 	oké veertien 
