B: 	ok ja ik vinden het een beetje een soort van 
B: 	wasbak denken ik het zijn zeggen maar zo'n vierkant en er zitten twee van die boog en er zitten een soort van ton in en uit die ton komen van die spiraol 
B: 	het zijn gewoon zeggen maar een vierkant vlak en daarop staan het object 
B: 	ja zijkant 
B: 	ja ja 
A: 	ah 
A: 	ja ik vinden het een beetje zo Pippi Langkousvlechtjes 
A: 	ja 
A: 	oké dan zijn het nummer vijf 
B: 	ja ok 
B: 	die spiraol 
B: 	ok dat zijn J 
A: 	dat zijn die een met die Pippi Langkousvlechtjes 
B: 	ja dit zijn dan vierkant vlak met dat object erop en dan die spiraal 
B: 	ja dat zijn P 
A: 	even kijken dat zijn nummer elf 
B: 	dit zijn dat vierkant vlak waar het dan op staat 
A: 	dit zijn met die Pippi Langkous 
B: 	ja dat zijn L 
A: 	staart 
A: 	dat zijn nummer negen 
A: 	dit zijn met de Pippi Langkous 
