A: 	een dit zijn weer de bak en aan de rechterkant zitten twee pilar 
A: 	en die zijn dezelfde lengte , zelfde breedte 
A: 	en aan de linkerkant zitten een soort van hendel kunnen je het zien 
A: 	ja en hoedje op 
A: 	ja 
B: 	ja 
B: 	ja 
B: 	en rechts dan twee recht staf 
B: 	ja ja 
B: 	dat zijn J 
A: 	oké 
A: 	zijn nummer veertien 
A: 	een bak met aan de rechterkant twee gelijkig gelijk stok , bovenop een soort van feesthoek hoedje 
A: 	aan de linkerkant zijn , zijn die de hendel , de deurklink 
A: 	voor 
A: 	ja ja ja 
B: 	deze hebben twee staaf rechts 
B: 	en ja klein poo link 
B: 	ja 
B: 	hebben hij twee staaf rechts 
B: 	bovenop 
B: 	ja en een poo linksonder ja ja 
B: 	dat zijn M 
A: 	hoed 
A: 	nummer dertien 
A: 	aan de rechterkant zitten twee uitstulping , twee stok , die even breed en even lang zijn , bovenop een hoed 
B: 	deze hebben twee staaf rechts en een afgestompt driehoek bovenop 
B: 	ja een een poo 
B: 	en daarboven nog een ding 
B: 	ja 
A: 	nummer een 
B: 	ja twee staaf rechts 
B: 	D 
B: 	deze hebben twee staaf rechts en een afgestompt driehoek bovenop 
B: 	klein poo link 
