A: 	top 
A: 	ja we 
A: 	ja 
A: 	en dan twee van die 
A: 	ja 
A: 	en nog één antenne bovenop 
A: 	ja vogelnes 
A: 	nummer twee 
B: 	ja dit doen mij eigenlijk denken aan een man met een verrekijker en een antenne op zijn hoofd 
B: 	ja klpen ja ja dat zijn inderdaad dat 
B: 	ok bij mij B 
A: 	deze hebben weer zo'n antennetje bovenop en dan dat vierkan zo aan de voorkant een beetje tegenaan plakken en die 
A: 	twee legoblok zeggen maar legoblokdingen aan de zijkant 
A: 	ja 
A: 	met de vierkant plat en het antennetje 
A: 	nummer negen 
B: 	o die die even kijken waar die staan hier G 
B: 	ok 
A: 	oké 
A: 	deze zijn weer met het Antennetje bovenop en de twee legoblokjes aan één kant en het vierkan voorop 
B: 	o dit zijn dat robot dinge met verrekijker en die antenne 
B: 	ja 
B: 	ok bij mij B 
A: 	ja 
A: 	waar 
A: 	twee legoblok zeggen je 
A: 	ja met de ja nummer één 
B: 	o die D 
B: 	ja 
A: 	deze zijn weer met de twee legoblokjes aan die kant en het vierkan voorop antenne 
B: 	o dit zijn de robot met de verrekijker en dan Antenne 
B: 	ok bij mij P 
B: 	o hier B 
B: 	ja welk ja ik weten niet of dat cijfer ok 
