B: 	oké deze staat op een driehoek met een draaien ding naar dat mokje toe zeggen maar 
B: 	en aan de bovenkant zitten er twee vierkant uit en aan de linkerkant iets Scheefs 
A: 	en een driehoek eronder 
A: 	oké 
A: 	vier zijn dat 
B: 	ja ja 
B: 	ja 
B: 	ja 
B: 	oké 
B: 	dat zijn A 
A: 	dit zijn weer met die draaien balk ik vinden het een trofee en die en die twee kubus en dan steken er link nog iets kleins uit en onder zitten een driehoek 
B: 	oké ik hebben diegene die op een driehoek staan met draaien ding 
B: 	ja 
B: 	ja dat zijn L 
A: 	ja dat zijn tien 
B: 	ik hebben diegene met de driehoek en dan draaien en daarop staan die mok 
B: 	ja dat zijn F 
A: 	dit zijn de trofee 
A: 	die staan ja vier 
A: 	dit zijn de trofee 
