B: 	ja ik ik hebben hem dat zijn voor mij K 
A: 	hierin zien ik zelf een gieter 
A: 	dus dat komme en aan beide kant uitsteeksel met twee ballet erop en aan de een kant hebben je eigenlijk nog een hendel 
A: 	en daarbij ook ja nog een een vlak een plateau 
A: 	oké 
A: 	ja 
B: 	even kijken deze zijn 
B: 	even kijken die hebben weer links en rechts een een staaf die uitsteken met een rond bolle daar aan het einde aan de achterkant dat vierkant plaat met het watervallet 
A: 	ja 
A: 	dat zijn bij mij negen 
B: 	ja 
B: 	dat zijn F voor mij 
A: 	dit zijn weer de gieter 
B: 	dit zijn die met die twee uitsteeksel naar links en rechts het plaa en de waterval 
A: 	de gieter die staan ja 
A: 	dat zijn nummer drie 
B: 	dat zijn L voor mij 
B: 	yes dit zijn weer die met die twee uitsteeksel links en rechts het plaa aan de achterkant en de waterval 
A: 	dit zijn de gieter 
A: 	de gieter ja 
A: 	dat zijn nummer vijf 
