A: 	ja 
A: 	en zo'n blok erbovenop 
A: 	ja dat zijn bij mij nummer zestien 
B: 	ah deze zijn de laat met een plat vlak erdoorheen 
B: 	en die zitten veel aan de bovenkant het plat vlak 
B: 	ja tafelpoot ja 
A: 	ik hebben die een weer met dat een soort van tafel laten maar zeggen aan de bovenkant dat het zo er zo doorheen gaan met twee van die poo er onderaan 
A: 	met dat ding erbovenop 
B: 	met het met de pot oké 
B: 	P 
A: 	en die pootjes ja 
A: 	dat zijn bij mij nummer veertien 
B: 	dat zijn die een met de tafel 
B: 	ja 
A: 	ik hebben diegene met die tafel met die poot laten maar zeggen 
B: 	ja 
B: 	N 
A: 	ja 
A: 	nummer tien 
B: 	de tafel 
B: 	met die twee po om de tafel 
A: 	ik hebben die met dat tafel met die twee poo 
A: 	bij mij staan die helemaal rechts van het scherm 
B: 	oké 
B: 	D 
