B: 	ja en dan 
B: 	ja en twee bollet op de 
B: 	oké ja 
B: 	K 
A: 	ja deze hebben eigenlijk gewoon een kop zonder ver iets er aan op de voorgrond 
A: 	en daarachter liggen een soort staaf met twee van die bollet aan het einde dat lijken alsof hij er helemaal achterlangs lopen 
A: 	met een soort schuin vlak erachter met achter het schuin vlak weer zo'n ding naar beneden 
A: 	een schans ja ja ja 
A: 	ja 
A: 	ja maar dan niet net niet niet helemaal recht alsof hij echt zo'n hoek maken achter de 
A: 	ok 
B: 	dit zijn met die staaf die door het mokje heen gaan maar aan de linkerkant iets weinig dan aan de rechterkant 
B: 	ja 
B: 	ja 
B: 	F 
A: 	ja ja ja dat zijn nummer negen 
B: 	dit zijn weer met die staaf erdoorheen en dan aan de linkerkant een klein stuk dan aan de rechterkant 
A: 	ja dit zijn met die doorlopen spijkerachtig dat achterlangs lopen met zo'n knik erachter en die schans 
B: 	link iets weinig en rechts iets veel 
B: 	L 
B: 	dit zijn weer die staaf die link iets weinig erdoorheen opsteken en rechts iets veel 
A: 	ja even zoeken waar die staan dat zijn nummer drie 
A: 	dit zijn weer met die spijker die er achterlangs helemaal doorheen lopen en de schans 
A: 	ja dat zijn nummer vijf 
