B: 	ja deze hebben eigenlijk een ja hoe noemen je zo'n ding ook alweer 
B: 	zeggen maar een zeggen maar twee soort van prisma aan de zijkant en een ik weten even niet veel hoe je een lang vierkant noemen 
B: 	ja een balk aan de bovenkant eigenlijk in principe 
B: 	ja 
B: 	ja 
B: 	zo'n soort cilindertje bovenop 
B: 	ja 
A: 	ah ja 
A: 	nee daar hebben ik heel ander in 
A: 	ik kunnen hem niet zo snel vinden 
A: 	aan de rechterkant dun aan de linkerkant zijn een een stok wat wel uitsteken met zo'n 
A: 	oké 
A: 	ja ik zien hem 
A: 	ja 
A: 	het zijn een soort en hij hebben een soort van neus wat zo half ja 
A: 	er staan een blok op zijn hoofd en hij hebben een klein uitstulpink met een stok ja 
A: 	ja ja 
A: 	ja 
A: 	ja ja dat kloppen 
A: 	ja eigenlijk zijn het net zo'n goo als die we net hebben toch 
A: 	waar dat stok op staat 
A: 	volgens mij wel 
A: 	dat armpje van hem zijn net zo'n net zo'n nou ja ik denken dat het gewoon ik dat zijn de enig waar ik een uil in kunnen zien 
A: 	ja een blok 
A: 	een langwerpig blok ja 
A: 	dan zijn het numero achten 
B: 	die prisma weer aan de zijkant 
B: 	oké dan zijn het bij mij E 
B: 	dit zijn die met dat balkje bovenop en die prisma aan de zijkant 
B: 	even zoeken hoor 
B: 	ja dat zijn bij mij E 
A: 	dit zijn jou uil 
B: 	die met die balk bovenop en die prisma 
B: 	balk 
A: 	nee 
A: 	even kijken dat zijn het uil 
A: 	ja dat zijn numero één 
B: 	als ik hem kunnen vinden 
B: 	dat zijn O 
A: 	dit zijn de uil 
A: 	het uil ik gaan hem even opzoeken 
A: 	duren lang 
A: 	ah numero zestien 
A: 	de uil 
