A: 	oké 
A: 	nee 
A: 	hij hebben een lepeltje 
A: 	ja ik noemen het een lepeltje 
B: 	nou vertel 
A: 	er zitten een lepeltje in het beker 
A: 	nee hij hebben een neusje met een piercing 
B: 	ja alsof er een bloeme doorheen zitten 
B: 	ja 
B: 	dan weten ik het dan zijn het F 
A: 	ja 
A: 	ja ja ja 
A: 	met dat lepel 
A: 	ja 
A: 	vijf 
B: 	dit zijn het piercingpoppe 
B: 	met de bol neus en daardoorheen een 
B: 	ja 
A: 	zijn neuspiercing 
A: 	vijf 
B: 	neus met piercing dat zijn A 
A: 	zijn de neuspiercing weer 
B: 	dit zijn de de neus met piercing 
B: 	en het pluk bovenop 
A: 	ja zo 
A: 	ja 
A: 	zo van ik komen eraan ja 
A: 	zijn vijftien 
B: 	neus met piercing H 
B: 	dit zijn het piercingpoppe 
