A: 	oké top 
A: 	zes diamantjes 
A: 	aan beide kant 
A: 	dus drie aan de een kant en drie aan de ander kant 
A: 	oké dan zijn nummer acht 
B: 	deze zijn een soort van schotelt slash kop aan de voorkant 
B: 	en aan de zijkant hebben je hebben je ja een beetje diamantachtig uitsteeksel 
B: 	ja precies 
B: 	ja 
A: 	dit zijn met die diaman die jij toen zeggen weten je nog welk 
A: 	ja 
B: 	wachten zijn een soort van zo'n soort van schotel 
B: 	ja ja ja ja dat zijn dat zijn j 
A: 	oké nummer twaalf 
A: 	de diaman 
A: 	ja 
B: 	deze zijn met die diamant of in ieder geval die die die drie dinget aan de zijkant 
B: 	en dat schotelt aan de voorkant 
A: 	nummer twee 
B: 	ja 
B: 	dat zijn m 
A: 	de diaman 
B: 	dit zijn met dat met die die drie dinget die uitsteken aan de die drie ja vormp die uitsteken aan de en linkerkant 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	wachten wachten even 
B: 	wachten die drie ding 
B: 	okee 
B: 	ja 
B: 	dat zijn o 
