A: 	driehoeken 
A: 	ja 
A: 	ja en alsof het een onderzeeër zijn 
B: 	dit lijken een beetje op een soort WALLErobo 
A: 	ja 
A: 	achten 
B: 	met een balk staan erbovenop 
B: 	en het lijken net alsof die zo iets vasthouden 
B: 	met een heel lang cilindertje erop 
A: 	dit zijn die ander onderzeeër 
A: 	ja met dat smal balkje en en die waar dat staafje ook zo omhoog staan met dat vinne 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	zijn één 
B: 	met het 
B: 	bedoelen je met het vierkant vlak erachter op een standaard 
B: 	ja zeggen maar de de beker 
B: 	ja dat zeggen maar als je hebben winnen zo'n trofee 
B: 	en hebben die zo zo'n hand zo met een cilinder erop 
B: 	oké ja 
B: 	dat zijn E 
A: 	het klein onderzeeër 
A: 	met die met dat pinnet 
B: 	dit zijn de serveerster die zo met 
B: 	nee 
B: 	maar volgens mij hebben ik ook een keer WALLErobotpoppetje zeggen 
B: 	bij deze bovenop een 
B: 	ja met een cilindertje en bovenop een ja een lang hoe heten dat ? een rechthoek zo'n lang vlak 
B: 	ja 
B: 	ja noemen we die WALLE als codetaal 
B: 	ja 
A: 	neusje 
A: 	ja 
A: 	dat zijn zestien 
B: 	WALLE 
B: 	even kijken waar zijn WALLE 
B: 	ja 
B: 	E 
A: 	de onderzeeër met het pinnet 
B: 	ja 
B: 	dit zijn volgens mij hebben we deze WALLE noemen zo met hand 
B: 	WALLE zijn staan die bij jou ook link onderin 
