B: 	ja hij hebben zeggen maar dat stok doorheen daar zitten een cirkel aan 
B: 	ok dan 
B: 	dan zijn het F 
A: 	oké nou ik zien dit een beetje als een soort van neus en dan zitten zo'n ja rechthoekig staaf doorheen 
A: 	dus aan de voorkant 
A: 	en dan aan het einde van die staaf zitten een een rond 
A: 	ja ja precies die 
B: 	o ja ja dit zijn met die neus en daar gaan zo'n balk door die neus en zo'n rond eraan 
B: 	ja 
A: 	ja 
A: 	ik weten wat je bedoelen even kijken 
A: 	ja dat zijn nummer vijf 
B: 	ja dat zijn A 
B: 	ja dit zijn die met die neus en dan die balk er doorheen 
B: 	ja dat zijn h 
A: 	dat zijn die een neus met die staaf erdoorheen en zo'n raar rond erdoor ja 
A: 	ah dat zijn nummer vijf 
B: 	dit zijn met dat de neus en dan stok er doorheen 
A: 	dat zijn die neus met dat ding erdoorheen 
A: 	dat zijn nummer vijftien 
