A: 	deze hebben een soort van omgekeerd pion uitsteken aan de linkerkant 
A: 	en aan de rechterkant een soort van rond tafel 
A: 	ja 
A: 	denken het 
B: 	ja 
B: 	even kijken 
B: 	hier ja ja ja kloppen en aan de ander kant veel zo'n helikopterplatform 
B: 	ja 
B: 	L 
A: 	het gaan wel makkelijk nu 
A: 	ja oké dat zijn zeven 
B: 	oké nu hebben ik weer die met die Pacman en met die driehoek erop 
A: 	dit zijn die met de omgekeerd pion 
B: 	even kijken waar staan die ook alweer 
B: 	ja hier 
B: 	C 
A: 	ja 
A: 	dat zijn één 
A: 	dit zijn die met de omgekeerd pion 
A: 	en 
B: 	die Pacman en die dat helikopterplatform 
A: 	dat zijn dertien 
B: 	A 
B: 	die Pacman en de helikopterplatform 
