A: 	ja 
A: 	ja 
A: 	nummer vijfteen 
A: 	hier hebben het hoofdplatform aan de voorkant een vierkant op zich plakken en aan de linkerkant hebben je twee van die vierkant die steeds klein worden 
A: 	en bovenop hebben je nog een soort paddestoel 
B: 	deze 
B: 	er zitten een aan de linkerzijde zijn twee uitsteeksel allebei bestaan uit drie kubus die van groot naar klein lopen of klein naar groot hoe je het willen zien 
A: 	ja 
A: 	nummer zeven 
B: 	en dan daarbovenop een soort van klein paddestoel lijken het wel 
B: 	en aan de rechterkant een plat vierkant tegenaan geplakt 
B: 	okee 
A: 	dit zijn de hoofdvorm met een vierkant plateau aan de voorkant en aan de zijkant twee van die vierkant die zo in elkaar lopen met een paddestoel 
B: 	ja 
B: 	ja dat zijn k 
A: 	ja nummer achten 
B: 	ah dit zijn wat je als satelliet omschrijven en het paddestoel en die twee 
B: 	ja 
A: 	deze hoofdvorm hebben aan de linkerkant die vierkant die zo ineen lopen en voorop zitten een vierkant plateau plakken met een ja met het paddestoel 
B: 	ah ja 
B: 	dat zijn m 
B: 	de satelliet met het paddestoel 
B: 	dat zijn p 
