A: 	bij deze misgaan er zeggen maar door het basisfiguur gaan zo'n groot staaf doorheen 
A: 	en aan de achterkant zitten zo'n vierkant er schuin aan vast waar nog zo'n 
A: 	ah ja ja soort van petaal pedaal erachter ja 
A: 	ja klpen ja 
A: 	ja 
B: 	ja ja 
B: 	ja een soort van zonne-energiepaneeltje aan de achterkant ja 
B: 	ik weten het anders ook niet ja 
B: 	okee ja ik denken ik hem wel weten 
B: 	ik gaan voor c 
A: 	ja met die met die ja met die stang erdoorheen 
A: 	ja 
A: 	dat zijn zestien 
B: 	ah ja 
B: 	ja hier dit zijn het kop waar zelf niks op zitten zeggen maar 
B: 	maar waar aan de achterkant een soort van rond staaf liggen met uiteinde bollet 
B: 	en een een een zonne-energiepaneeltje weten je nog 
B: 	ja 
A: 	deze zijn weer met dat petaal pedaal er achterop 
A: 	waar zeggen maar die die staaf doorheen steekt en die pedaal erachter 
A: 	ja ja 
B: 	ja 
B: 	alright dan gaan ik voor a 
A: 	aan de zijkant 
A: 	ja dat zijn zeven 
A: 	dit zijn met dat petaal petaal er weer achterop 
A: 	het pedaal achterop zeggen maar 
A: 	ja 
A: 	sorry ik kunnen het even niet uitspreken 
A: 	ik kunnen het 
B: 	kop met aan de achterkant een hoe heten het een soort pen met met bollet aan de aan beide kant en een zonnepaneel 
A: 	ja achten 
B: 	ik gaan voor b ja 
B: 	nou ja 
B: 	zonne-energiedakje 
