A: 	ok deze hebben 
A: 	twee staf aan de zijkant waar een bolle op zitten en aan de achterkant zitten een schuin vierkan wat een beetje verstopken zitten 
A: 	en daar komen ook een ja iets uit 
A: 	ja 
B: 	die ja 
B: 	ja dat zijn K 
A: 	ja negen 
B: 	ja hier zijn het eigenlijk weer die rugtas niet die dat klein rugtas maar die groot met die uitsteeksel 
B: 	ja ja 
A: 	deze hebben weer die spijker aan de zijkant dus twee en dan dat schermpje erachter 
B: 	groot rugtas dat zijn F 
A: 	o nee 
A: 	ja 
A: 	drie 
B: 	de groot rugtas 
A: 	die met die twee spijker aan de zijkant en het schermpje er achter en dat gleufje dinge 
A: 	vijf 
B: 	de groot tas 
B: 	nee ik hebben alleen de klein zien 
B: 	waar ? ah daar 
B: 	L 
B: 	dit zijn de groot boekentas 
