A: 	hier hebben je de hoofdvorm en dan rechts van de hoofdvorm hebben je een cirkel op zijn plat kant 
A: 	nee dat zijn trouwens rechts link hebben je één ja wat zijn het een rond staaf maar dan de helft daarvan 
A: 	en aan die rond staaf zitten een soort puntvormig puntvormig voorwerp 
A: 	ja 
A: 	nummer achten 
A: 	dit zijn de hoofdvorm waarbij er rechts een cirkel zijn gewoon zo plat 
A: 	link hebben je die vorm die half uitgesneden zijn met een soort spits punt erin 
A: 	ja een cirkeltje die eraan vast zijn plakken waar je iets op kunnen voortzetten 
A: 	in feit 
A: 	en dan links hebben je die rond staaf die eigenlijk door de helft zijn 
B: 	ja 
B: 	ja ik zien het zelf misschien als iets van dat water dat uit de muur lopen of dat het zo omhoog spuiten 
B: 	want het eindigen in een vierkantje toch 
B: 	ja en met zo'n plateau aan de rechterkant 
B: 	ja 
B: 	dan zijn het h 
A: 	ja 
A: 	met die punt 
A: 	ja 
A: 	nummer twee 
B: 	dit zijn die een met het water uit de muur het kaneelstaaf en het cirkelplateau 
B: 	naald zijn wel links 
B: 	ja 
A: 	dit zijn de hoofdvorm met die rond staaf aan de linkerkant die uitgesneden zijn met die punt erin 
A: 	ja 
B: 	ja 
B: 	ja dat zijn n 
A: 	ja 
A: 	waar je iets op kunnen voortzetten 
A: 	nummer twee 
B: 	het water dat uit de muur komen kaneelstaaf en cirkelplateau 
B: 	dat zijn à 
B: 	het kaneelstaaf water uit de muur en plateau 
