A: 	oké 
A: 	ik hebben dat dat kop 
A: 	en daar hebben je dan zo aan de voorkant zitten zo'n bolle 
A: 	en dat bollet hebben dan zo'n vierkant staaf erdoorheen 
A: 	met zo'n plat ding aan de einde van de staaf en dan dat gek ja piek bovenop 
B: 	ja aan de voorzijde allebei dat bolle en die staaf 
B: 	ok dan zijn het F 
B: 	deze hebben zegmaar zo'n ballonnetje uitstekend aan de bovenkant aan de voorkant zitten een bol die doorboren zijn met een staaf 
B: 	met zo'n rond aan de rechterkant ja 
A: 	ja dat zijn vijf 
B: 	ja A 
B: 	ballonne eruit en dan zo'n bol vooraan met zo'n staaf er doorheen met dat rond 
B: 	ja met die cirkel aan de rechter uitein 
B: 	ja die doorbooren zegmaar ja H 
A: 	ja dit zijn die met het bollet aan de voorkant met die staaf erdoorheen en dan dat ander cirkel nog rechts 
A: 	en de pluim 
A: 	en die pluim 
A: 	ja 
A: 	dat zijn vijf 
B: 	met dat ballonne er in en dat bolle aan de voorkant wat doorboord zijn en dan zitten er rechts nog zo'n rond 
A: 	dit zijn die met dat bolle en dan de staaf erdoorheen met dat plat kant 
A: 	ja dat zijn vijftien 
