A: 	ja en er staan zo'n soort bakje op of zo 
A: 	ja 
A: 	zestien 
B: 	nou dit zijn dan weer gewoon zo'n soort emmercupding en het lijken alsof daarvoor een schap zijn ophangen waar de poo nog onder staan en daarop staan een bak 
A: 	volgens mij hebben jij die omschrijven ik ik hebben het omschrijven als de ja dat bak staan erop zeggen maar je hebben toch zo'n gek 
A: 	houten plankhouder zeggen maar met aan de zijkant twee van die poo 
A: 	ja ik ik noemen dat altijd de plankhouder of zo 
A: 	jij moeten hem doen ja 
B: 	met een een bakje erop 
B: 	dat zijn P 
A: 	bak bovenop die plank die erdoorheen gaan en 
A: 	ja ja ja ja ja hoe doen ja bakje of plankhouder of zo noemen we die gewoon voortaan ja 
A: 	ja prima plankhouder veertien 
B: 	dit zijn het emmer met het schap ervoor 
A: 	de boekenplank of bakjeshouderplank of weten je nog welk ik bedoelen 
A: 	ja ja ja ja 
A: 	het zijn gewoon zo'n recht hoek zeggen maar met twee poo inderdaad en daarbovenop staan een soort bakje 
A: 	ja 
B: 	ja dat zijn N 
A: 	ja 
A: 	dat zijn tien 
B: 	dit zijn het schap 
B: 	aan de voorkant een schap met een bakje erop 
A: 	de of nou de bakjeshouderplank 
B: 	het schap 
B: 	dat zijn D 
