B: 	kunnen je hem nog een keer omschrijven 
B: 	ja 
A: 	oké ik hebben zo'n lang spriet omhoog 
A: 	want je hebben dat basisvormpje weer en dan hebben ik zo'n lang spriet omhoog 
A: 	die een beetje zo gaan 
A: 	hij hebben 
A: 	ja 
A: 	en hij hebben ook zo'n soort neus 
B: 	ja ja dus een beetje zo'n zo'n worm die van achter uit die appel erin komen 
A: 	ja 
B: 	kunnen je dat zo zien 
B: 	zeggen maar zo'n beetje zo'n zo'n kronkelstaar aan de achterkant en dan twee van die kegel boven 
A: 	ja ja 
B: 	en aan de voorkant worden het zo'n groot vierkant met kleintje erachter 
A: 	en hij hebben aan de ander kant hebben die ook nog zo'n uitsteeksel een beetje ja ja precies 
B: 	oké dan zijn dat E 
A: 	ja 
A: 	ja 
A: 	en aan de ander kant hebben je dat raar armp 
A: 	ja 
A: 	oké dat zijn elf 
B: 	oké nu hebben we deze hebben we ook al hebben met dat wormp dat achterin die pot komen 
B: 	met dat vierkant dat zeggen maar klein vierkan worden dicht naar de pot toe 
B: 	ja 
A: 	ik hebben weer die met die lang neus die twee kegelt dus die lang neus als kegeltje en het de bovenkant een kegeltje die uitsteken 
A: 	en dan aan één kant hebben ik weer die blok allemaal als armpje 
A: 	en dat ander 
A: 	bij mij staan die rechts 
A: 	aan de rechterkant 
A: 	een beetje in het midden 
A: 	ja 
B: 	dat zijn J 
B: 	dit zijn die met dat die pot en die vierkant voor en die worden steeds klein die vierkant aan de voorkant en dan staan er dat wormp zeggen maar bij zijn rug 
B: 	ja 
A: 	welk twee ding 
A: 	ja die ja 
A: 	die twee bowlingkegel en dan die die vierkant en dat raar armpje ja 
A: 	dat zijn negen 
B: 	ja 
B: 	dat zijn B 
B: 	dit zijn met dat wormp achterin 
A: 	ik hebben die groot 
A: 	ja die met die kegel 
A: 	dus die hebben we net 
A: 	ja 
A: 	oké 
A: 	ja zijn nummer vier 
