B: 	okee bovenop staan een soort van paddestoel 
B: 	kunnen je hem mee vergelijken 
B: 	en aan de linkerkant zijn twee dezelfde blok die steeds groot blok worden 
B: 	ja 
A: 	oké 
A: 	plat vierkant daar ja ja ja 
A: 	oké ja dat zijn vijf 
B: 	steeds breder worden uitsteeksel aan de linkerkant 
B: 	ja 
B: 	ja ja ja ik zien hem p 
B: 	de paddestoel 
B: 	met de met de plaat ervoor 
B: 	en die twee groot worden blok aan de linkerkant 
A: 	oké dit zijn weer die die robotog zoals je die noemen 
B: 	ja 
B: 	ja b 
A: 	oké ja sure duidelijk negen 
B: 	ik hebben de de paddestoel de Antenne bovenop en het de plaat voorop 
A: 	dit zijn weer met die robotog 
B: 	ja 
B: 	à 
A: 	oké 
A: 	elf 
A: 	ja dit zijn die robot 
