B: 	ha ja dit zijn een ding met twee soort van kegel aan de zijkant 
B: 	en een langwerpig blok bovenop en een soort van paal dat eruit steken 
B: 	ja een soort van aan de voorkant zitten een ding met een soort van 
B: 	ja 
B: 	nee 
B: 	dat zijn niet degeen die ik bedoelen 
B: 	oké nee het paal oké 
B: 	zeggen maar je hebben zo het kop en aan de zijkant zitten soort van kegel zo 
B: 	daarbovenop liggen een een langwerpig blok 
B: 	en aan de voorkant steken een driehoek uit waar een soort van paaltje op staat 
A: 	even kijken 
B: 	ja precies 
A: 	een hanenkam 
B: 	ja die 
A: 	ja 
A: 	en hij en hij hebben hier zo'n soort neus 
A: 	zo'n 
A: 	ja 
A: 	ja zo'n hand zo hier naar boven en daar zitten dan nog een rond in 
A: 	oké dat zijn nummer acht 
B: 	met ja precies 
B: 	E 
A: 	die die dat potlood vasthouden en dat blok bovenop 
A: 	ja dat zijn nummer één 
B: 	dit zijn weer die vage met dat soort van huis bovenop en wat jij een spaceship vinden 
A: 	die met dat penne en dat blok bovenop 
B: 	ja 
B: 	even zoeken waar die zijn 
B: 	E 
A: 	ja dat zijn nummer zestien 
B: 	dit zijn weer het spaceship 
A: 	die met dat potlood en die die balk bovenop 
B: 	ja O 
