B: 	oké 
B: 	ja 
B: 	ja 
B: 	oké dan zijn het I 
A: 	ik hebben geen idee wat dit zijn maar het hebben gewoon twee mooi balk of heel dun reep zeggen maar 
A: 	en boven zo'n pastoorhoed zeggen maar 
A: 	ja ja dat zijn wel een goed ja 
A: 	ja één zijn 
A: 	ja dat zijn wel goed ja 
B: 	oké dit zijn diegene met zo'n iste aan de zijkant eruit en een driehoek erop die aan de bovenkant plat zijn 
B: 	ja ja 
B: 	dat zijn M 
A: 	jou beurt 
A: 	ja ja 
A: 	twee 
B: 	ik hebben degeen met een isteken eraan 
B: 	en zo die afgeplatte driehoek aan de bovenkant 
B: 	ja ja 
B: 	even zoeken waar zijn die ? ja 
B: 	dat zijn F 
A: 	die iste 
B: 	ik hebben die met het isteken en de afgeplatte driehoek 
A: 	negen 
A: 	de istek 
A: 	ik moeten even zitten weten je 
A: 	zes 
