A: 	ik hebben bovenop het zijn een soort vleugel het zijn een ruit en daar komen aan allebei de kant twee 
A: 	ja 
A: 	ja dus die links komen naar je toe 
A: 	vijf 
B: 	ja 
B: 	ja ik denken dat ik hem ja ik weten hem dit zijn G 
A: 	ik hebben die een met die met die vleugel die ruit en dan die twee vleugel aan de bovenkant 
A: 	ja 
A: 	veertien 
A: 	ik hebben de vleugel en de ruit 
A: 	ja zeven 
B: 	deze hebben heel veel , deze hebben aan de onderkant een soort poo , voe 
B: 	en linksbof ja een soort van twee vierkante , die , ja ruiten , die , ja , links en rechts steeds groot vierkanten krijgen zeggen maar 
B: 	en rechtsvoor ja zo'n vogelhuisstokje 
B: 	en daar onder ook nog een soort staaf 
B: 	het belangrijk zijn dat hij een voe hebben 
B: 	ja aan de onderkant 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	steeds groot vierkant ja 
B: 	ja 
B: 	ja dat zijn hem 
B: 	ja 
B: 	die kubus die groot worden 
B: 	en een poo onderaan 
B: 	ja 
B: 	ja dat zijn O 
B: 	deze hebben een voe aan de onderkant 
B: 	en bovenop zo'n ja vierkant ruit waaruit twee links en rechts , ja 
B: 	en een voe 
B: 	ja 
B: 	I 
B: 	deze hebben een poo aan de onderkant 
B: 	en poo rechts 
B: 	en bovenop die vierkant en kubus die groot worden 
B: 	ja we moeten er een naam voor bedenken , 
B: 	een voe aan de onderkant 
B: 	en ja die pinokkioneus die je zeggen , rechts voor een beetje 
B: 	en bovenop ja een vierkant , twee vierkante , met aan beide kant , links en rechts , kubus die steeds groot worden 
B: 	ja beetje rechts naar voren , rechtsvoor , ja , voor ons 
B: 	en daar onder zitten nog een soort poo zeggen maar 
B: 	haak , ja , hoe je het noemen 
B: 	maar hij hebben een voe , dat zijn het belangrijk 
B: 	nee nee nee 
B: 	of zo'n poo , ja 
B: 	ja een een staafje 
B: 	voor rechts 
B: 	ja 
B: 	en daar onder zitten nog een ding 
B: 	ja niet echt nee 
B: 	nee bovenop hebben hij ook wat , ja van die vierkant , en dan links en rechts , die kubus die steeds groot worden 
B: 	links en rechts ja 
B: 	ja we noemen hem ruit 
B: 	ja we noemen hem ruit 
B: 	ja 
