A: 	ja 
A: 	dat zijn hier nummer zestien 
B: 	ok ik hebben deze omschrijven als een soort hoog tafel met twee poo 
B: 	met een soort vierkant bak er op 
B: 	ja met vierkant bak er op 
B: 	ok P 
A: 	ik hebben zeggen maar de koffiemok waar een plateau aan vastzitten bovenin met twee poo aan de onderkant en een bak erop 
A: 	en linksbof steken nog zo'n soort antenne uit 
A: 	oké 
B: 	ja mogen we zo ook communiceren gewoon goed kijken ja 
B: 	ok tafel met twee poet 
B: 	met vierkant bak 
A: 	ja 
A: 	dat zijn nummer veertien hier 
B: 	ja ik zijn hem aan het zoeken o ja N 
A: 	dit zijn de mok waar een vierkant plateau bovenin aan vastzitten met twee poot een bak erop en linksbof een klein antenne 
A: 	ja in het bovenste deel zeggen maar je hebben nog een klein stuk van de rand van de mok over 
A: 	daar hangen zeggen maar zo'n vierkant plateau aan vast waar twee poo onderuit steken 
A: 	en op dat plateu staan een soort van bak 
A: 	ja die 
A: 	ja 
B: 	tafel met twee pot vierkant blok 
A: 	ja 
A: 	nummer tien 
B: 	ja met vierkant ding erop D 
A: 	dit zijn de beker met dat plateau wat er aan de bovenkant aan hangen met twee poo naar onder en een bak erop 
