B: 	met de twee krullet aan de zijkant 
B: 	twee spiraalt naar de zijkant toe 
B: 	op op een dienblad 
A: 	rond boog 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer vijf 
B: 	met die krullet ja dat zijn bij mij zijn dat J 
B: 	dit zijn op dat dienblad met die krullet naar de zijkant 
B: 	het plaa aan de voorkant 
A: 	hoe noemen je deze ook alweer ? in ieder geval koffiekopje met vierkant onderzetter 
A: 	met de soort rond neus aan de voorkant 
A: 	de spiraaloort 
A: 	oké 
B: 	ja dat zijn bij mij P 
B: 	de kronkeloort cilinder 
A: 	met de ei of 
A: 	oké even zoeken zoeken zoeken 
A: 	ja de ja de raar vlech 
A: 	dat zijn nummer elf 
B: 	de plaat met de spiraalt ja dat zijn L 
A: 	jou spiraalvlecht 
A: 	ja 
A: 	nummer negen 
A: 	de vlecht 
