A: 	ja nou staan die weer bij mij een beetje een lastig figuur maar er liggen dat komme en daarbovenop liggen een bal 
A: 	en daarvoor staan een paal 
A: 	en aan de beide kant zijn twee uitsteeksel 
A: 	ja 
A: 	ja ja 
B: 	aan beide kant steken iets iets uit 
B: 	ja 
B: 	dan denken ik dat ik het al wel weten want er zijn er niet heel veel waar iets van een bal in lijken te gaan vanaf de bovenkant 
B: 	dus dat moeten dan voor mij D zijn 
B: 	dus dat worden dan geel 
B: 	deze even kijken 
B: 	volgens mij hebben we deze al een keer hebben zelfs 
B: 	een soort van korf waar een balle in gaan waar bij je dus links en rechts een staafje hebben en aan de voorkant een staaf die als het zijn de korf omhooghouden 
B: 	ja 
A: 	ja 
A: 	ja 
A: 	hoe hebben je hem noemen bij test 
A: 	oké 
A: 	ja 
A: 	maar inderdaad die bal erbovenop en die staaf ervoor 
A: 	ja 
A: 	oké 
A: 	oké 
A: 	ja ik hebben er wel een waterpomp van maken 
A: 	maar het zijn vijftien 
B: 	even kijken ja dat zijn L voor mij 
A: 	dit zijn ja de lang staaf voor recht staaf en de bal bovenop 
A: 	en twee armp zo 
B: 	dit zijn de korfbal paal weer 
A: 	die twee 
A: 	ja ja ik zien hem nu staan 
A: 	nummer zes 
B: 	dat zijn J 
B: 	de korfbalpaal 
A: 	dit zijn die bal en die staaf voor en die twee arm opzij 
A: 	ja 
A: 	dat zijn nummer drie 
