B: 	bal er bovenop o soort soort 
B: 	beetje zo dat dat hij zo staan bal bovenop en dan zo'n staaf aan de zijkant die er onder uit komen ja dan zijn het d 
A: 	ja ik in deze zien ik een soort van poppe met heel smal arm 
A: 	en er je hebben zeggen maar een bal boven op het soort van kopje liggen 
A: 	ja 
A: 	ja een ei een bal 
A: 	en er zitten zo'n ja een balk die liggen zeggen maar of die 
A: 	ja 
A: 	die zitten voor voor het ja het 
A: 	ja 
A: 	ja 
A: 	ja ja ja 
A: 	ja 
A: 	het lijken een beetje alsof die die wolkenkrabber gaan knuffelen 
A: 	ja ja 
B: 	ja dit zijn weer die die bal die bovenop liggen met die met die staaf aan de zijkant die er onderin nog uitsteken 
B: 	aan die zijkant inderdaad die twee twee ding die afbuigen 
A: 	ja maar ze komen zes keer langs toch 
A: 	zijn het die doorboorde ei of niet 
A: 	met die die zo'n knuffel geven 
A: 	ja oké 
A: 	dat zijn vijftien 
B: 	ja en die balk die dan zo ja dat zijn L 
A: 	dit zijn weer die knuffel aan de wolkenkrabber 
B: 	ja dit zijn weer dat korfbal ding balle bovenop en met die balk ernaast 
A: 	ja dat zijn zes 
B: 	ja 
B: 	dit zijn J 
A: 	dit zijn die die wolkenkrabber gaan knuffelen 
B: 	dit zijn weer die korfbal 
A: 	ja 
A: 	dat zijn drie 
