A: 	ja 
B: 	ik hebben het rood 
B: 	ik vinden het wel een beetje lijken op een cocktail 
B: 	met een schijf citroen misschien een ja 
B: 	en dan zitten er een soort lepeltje boven 
A: 	zijn dat zo'n ruitvorm 
A: 	dat muntstuk 
B: 	en er zitten eigenlijk aan de zijkant dan een 
B: 	een handvat 
A: 	even kijken 
B: 	ja 
A: 	ja en mok bedoelen je gewoon dat figuur ja en dan ? wat zeggen je daarna 
A: 	ja 
A: 	hebben het twee uitsteeksel aan de linkerkant 
A: 	één 
A: 	ja 
A: 	ja 
A: 	en daar zitten dan ook nog zo'n soort van pluimp aan de voorkant 
A: 	voor dat muntstuk zeggen maar steken nog iets naar boven 
A: 	aan de rechterkant 
A: 	nee 
A: 	ja 
A: 	ja oké 
A: 	ja 
A: 	dat bedoelen ik ja 
A: 	ja 
A: 	dat zijn nummer dertien 
A: 	dit zijn weer die mok waar dat half muntstuk zo bovenuit komen met een lepeltje daarvoor en aan de linkerkant een balk die daaruit steken 
A: 	en nog op een verhogink ja 
B: 	ja 
B: 	dat zijn O 
B: 	dit zijn weer die soort cocktail zeggen maar 
B: 	met dat kannet eronder 
B: 	op dat 
B: 	volgens mij zijn het weer een nieuw ronde trouwens 
B: 	nou ja dus zeggen maar dan hebben je zo zitten stijgen er zo'n soort lepel uit en dan aan de zijkant zijn er aan de een kant zo'n ding 
B: 	ja zo'n soort balk en dan dan zijn er zo'n rond ja ananasschijfje citroenschijfje of zo 
B: 	ja 
B: 	ja 
B: 	ja 
A: 	ja 
A: 	dat zijn nummer acht 
B: 	cocktail waar zijn je 
B: 	ja 
B: 	ah C 
B: 	van cocktail 
A: 	dit zijn met dat muntstuk wat erin vallen 
A: 	een lepeltje erin en aan de linkerkant komen er een staaf uit 
A: 	dus aan de bovenkant vallen er een een muntstuk in 
B: 	de cocktail 
A: 	ja 
A: 	link zitten een staafje verhoging ja nummer zeven 
B: 	de cocktail C 
B: 	ja 
A: 	dit zijn de spaarpot 
A: 	ja 
A: 	spaarpot 
A: 	ja 
A: 	ja ik denken het wel 
A: 	Hallo 
