B: 	mijne hebben een plaa ertegenaan en een soort ja champignon of zo erop 
B: 	ja 
A: 	ja 
A: 	ja 
A: 	paddenstoel of zo 
A: 	ja 
A: 	nummer twee zijn dat 
B: 	ja 
B: 	dat zijn bij mij G 
B: 	deze zijn weer met dat plaat ertegenaan en die paddenstoel erop 
A: 	ik hebben nu links twee keer die uitdijen kubus zeggen maar en bovenop die zeggen maar paddenstoel 
A: 	en vooraan die dat vierkant ertegenaan plakken 
A: 	ja ik hebben hem 
A: 	ja 
A: 	dat zijn nummer negen 
B: 	dat zijn bij mij D 
B: 	met die paddenstoel 
A: 	deze hebben aan de linkerkant die twee uitdijen kubus en bovenop dat paddenstoel en vooraan dat geplakte vierkant 
B: 	B 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer één 
A: 	dit zijn die een met link die twee uitdijen kubus en bovenop dat paddenstoel 
