B: 	ik weten al welk je bedoelen ik vinden het een boiler denken ik 
B: 	met zo 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	ik vinden het echt op een boiler lijken ik weten niet waarom 
B: 	M 
A: 	ja ik vinden deze op een op een kat lijken die hebben zo'n soort aan de achterkant zo'n 
A: 	zo'n hoe noemen je dat een een ruit met twee van die telescoopachtig ding aan de zijkant die naar links en rechts eruit steken 
A: 	en aan de voorkant hebben hij gewoon een soort recht staaf en dan onderaan het kop een haak en rechts aan het kop ook een haak 
A: 	dus je hebben één je hebben één kopje die op de achterkant zo'n niet een volledig ruit hebben maar een deel die er zo half achterin zitten 
A: 	en dan aan de zijkant uitsteken er twee van die ding uit die ruit uit 
A: 	ja ik vinden dat je die ruit op een kat lijken ik weten het niet dat zijn het één wat in me opkomen 
A: 	ja ja 
A: 	ja gewoon helemaal precies aan de onderkant zo'n 
A: 	ja en een soort staaf die er recht uitkomen ja 
A: 	ok ja 
B: 	ik noemen het de boiler 
B: 	jij noemen het iets ander 
B: 	met dat vierkant boek bovenop 
B: 	pinokkio ja Pinokkio 
B: 	de 
B: 	de boiler 
B: 	ik zien hem niet 
B: 	ja en met dat boek bovenop 
B: 	ja 
B: 	H 
A: 	ja die kat 
A: 	ja denken het wel 
A: 	ja ja en aan de zijkant en recht vooruit zo'n 
A: 	ja alleen dat alleen die ruit met die ja ik weten waarom ik gewoon die ruit dat vinden ik op een kattenhoofd lijken zeggen maar maken niet die ding die er uit komen niet eens maar gewoon 
A: 	ok dat zijn negen 
B: 	oké de boiler 
B: 	de boiler 
A: 	ja dit zijn die kat met dat met die ruit en die telescoop aan de zijkant 
A: 	ja ja heel goed ja dat zijn elf 
A: 	dit zijn weer die kat 
A: 	met de ruit en 
A: 	ja 
A: 	ja zijn nummer veertien 
