A: 	oké deze hebben zo'n soort ja pionnetje bovenaan 
A: 	en dan rechts twee van die vierkant balk 
A: 	en iets link zitten nog een soort staafje 
A: 	en daaronder ook nog zo'n ja klein kruldinge 
A: 	ja 
A: 	ja denken ik ook aan ja 
B: 	aan de zijkant 
B: 	en dan met zo'n hoedje 
B: 	plat 
B: 	en nog één been 
B: 	ja 
B: 	dan zijn het zijn dat een I of een L 
B: 	een I 
B: 	dan zijn het een I 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer twee 
A: 	dit zijn dat vogel 
B: 	dit zijn die een met dat isteken 
A: 	even kijken waar die zijn 
A: 	ja nummer negen 
A: 	het vogel 
B: 	even kijken 
B: 	ja dat zijn N 
A: 	eens even kijken waar die zijn 
A: 	ja nummer zes 
B: 	dit zijn met dat isteken 
B: 	oké 
B: 	dat zijn F 
B: 	dit zijn weer met het isteken 
