B: 	ja 
B: 	ja met die met die 
B: 	nee 
B: 	het zijn niet dat voetstuk nee 
B: 	oké 
B: 	met die ruit aan de achterkant 
B: 	het lijken een beetje op de staart van een vliegtuig ja 
B: 	oké 
B: 	ja zitten nog twee kubus aan de zijkant 
B: 	oké dat zijn bij mij zijn dat M 
A: 	ik hebben voor jou een koffiebeker met een 
A: 	uitsteeksel aan de onderkant en twee aan de zijkant 
A: 	en aan de bovenkant aan de rand steken een vierkant biscui zullen ik maar noemen 
A: 	met twee blok die daarin wat groot worden steken aan beide kant van het biscui uit 
A: 	en één van even de voorkantuitsteeksel zijn ook een beetje cilinderachtig en aan de 
A: 	rechts zijkant zijn een staaf die een haaks bocht lijken te hebben 
A: 	of in ieder geval een getrapt bocht 
A: 	net als de 
A: 	zien jij een koffiebekert met 
A: 	zestien stuk 
A: 	met het biscuit staan zeggen maar rechtop schuin ja als een ruitvorm 
A: 	op een beetje op de bovenste rand 
A: 	iets aan de achterkant 
A: 	zitten twee uitsteeksel 
A: 	oké 
A: 	even kijken waar je 
A: 	ja 
A: 	ja en die staan rechtop 
A: 	als een soort ruitvorm 
A: 	op de rand 
A: 	ja ? mee 
A: 	oké 
A: 	één aan de onderkant 
A: 	en twee aan de zijkant 
A: 	ja 
B: 	dan hebben we deze dit zijn weer met die die op dat voe staan 
B: 	en met het de ruit aan de achterkant wat een beetje op de achtervleugel van een vliegtuig lijken 
B: 	ja dat zijn h 
A: 	ik noemen die net het biscuit 
A: 	oké met onderin dat en twee aan de zijkant en dan boven dat gedoe 
A: 	dat zijn nummer negen 
B: 	dit zijn die met die vliegtuigachtervleugel op het voe 
B: 	het voe en de Vliegtuigvleugels 
B: 	ja dat zijn D 
B: 	de vliegtuigachtervleugel op het voetstuk of op het voe 
A: 	koffiekopje met een rechtopstaand biscui bovenaan in ruitvorm met 
A: 	de robotarmen die eruit komen 
A: 	ja hebbes 
A: 	en nog drie uitsteeksel 
A: 	ja 
A: 	dat zijn nummer elf 
A: 	biscui met robotarmp eruit 
A: 	en nog drie uitsteeksel 
A: 	hebbes 
A: 	nummer veertien 
