B: 	ok ja dit moeten mij een doen me beetje denken aan een fabriek of zo omdat er zeggen maar een buis Ronde Buis komen een beetje schuin naar beneden lopen en aan de linkerkant zitten zo'n 
B: 	rechthoekig buis Buis ja vierkant buis en bovenop zitten twee klein buisjes 
B: 	o ja ja die zitten er ook ja 
B: 	ok bij mij H dan moeten jij ja 
A: 	oké 
A: 	door hem heen 
A: 	ja dat zijn er maar één 
A: 	dat zijn nummer zes 
A: 	deze hebben weer beetje dat dat plateautje zo er dwars doorheen in ja net iets onder het midden en een soor glijbaan 
A: 	hebben we ding echt hetzelfde benoemen 
A: 	dat vinden ik echt mooi 
A: 	cool 
A: 	ja met het glijbaan 
A: 	nummer dertien 
B: 	o dat waarbij ik denken dat zijn een fabriek 
B: 	o ja ja ja dat zijn bij mij C 
A: 	deze zijn weer dat vierkan die hem zo dwars doorsnijden met het glijbaan 
B: 	dit zijn waarvan ik denken een fabriek en jij een een meisje met een rok 
B: 	ja 
B: 	ok bij mij I 
B: 	o die die 
B: 	ok even kijken waar die nou o daar zijn hij J 
B: 	o dan moeten ik klikken 
A: 	ja 
A: 	ja 
A: 	ja en het glijbaan nummer negen 
A: 	deze zijn met het glijbaan en het plateaut erdoorheen 
B: 	dit zijn weer dat meisje en de fabriek 
B: 	ok bij mij M 
B: 	even kijken waar ze zijn o daar ze zijn dat gaan lekker ze slapen daarin bij mij zijn dat N 
