B: 	ja 
B: 	ja 
B: 	met een plat stuk eraan 
B: 	ja dan weten ik welk het zijn en er zitten nog één fliep 
B: 	ja 
B: 	oké dan zijn het F 
A: 	nu hebben ik oeh 
A: 	oké het lijken op een ja ik het hebben beschrijven als een één een een clown zeggen maar toeter weten je 
A: 	aan aan de zijkant van zo'n oor zeggen maar 
A: 	ik hebben er één 
A: 	hij lijken op een 
A: 	ja 
A: 	kloppen 
A: 	alles link 
B: 	oké dit zijn degeen met de bal aan de voorkant waar dat ding doorheen zitten en dan aan de achterkant nog zo dat 
B: 	ja dat zijn A 
A: 	jou beurt 
A: 	zo'n appel 
A: 	oké 
A: 	vijf 
B: 	ik hebben diegene met een bol aan de voorkant waar een ding doorheen zitten en één fliebel 
B: 	ja 
B: 	ja even zoeken ja ja dat zijn h 
A: 	die clowntoeter en dan zo'n blad 
A: 	zo'n Pokemonblad weten je toentertijd 
A: 	nummer vijf 
B: 	ik hebben die boor met die balk erdoorheen met zo'n fliebel in die pot 
A: 	de toeter met dat appelblad zeggen maar 
A: 	vijftien 
