A: 	oké dit noemen ik een gieter 
A: 	hij hebben namelijk aan de zowel linker als rechterkant een een soort van uitteeksel met een bolle aan het einde 
A: 	ja 
B: 	ja nou die dat zien zitten allemaal aan de achterkant van dat ding 
B: 	of niet 
B: 	ik ik vinden hem een beetje op een honkbalknuppel lijken die achter een kop liggen 
B: 	ja 
B: 	K 
A: 	ja 
A: 	ja dat zijn negen 
B: 	nu hebben ik weer die met die met die hoe heten dat ? met die honkbalknuppel 
A: 	oké dit zijn de gieter 
A: 	ja dat zijn weer even zoeken 
A: 	oké dat zijn drie 
B: 	ja 
B: 	honkbalknuppel 
B: 	ja 
B: 	even kijken dat zijn F 
A: 	de gieter 
B: 	die honkbalknuppel 
B: 	hebben ik nu 
A: 	dat zijn vijf 
B: 	ja 
B: 	L 
B: 	die honkbalknuppel 
B: 	of elektrisch fiets 
