B: 	bijzetting ja 
B: 	ja 
B: 	k 
B: 	deze hebben dat bijzettafel soort van en die uitsteeksel met die dat ding wat omhoog gaan 
A: 	even kijken dit zijn de kopvorm met aan de linkerkant zitten één van soort balk 
A: 	en het lijken dan alsof daar een heel groot spijker in zijn slaan 
A: 	dus een beetje een l-vorm aan de linkerkant 
A: 	zullen we zeggen 
A: 	ja 
A: 	aan de rechterkant ja 
B: 	ja 
B: 	even kijken waar die blijven zijn ja g 
A: 	ja 
A: 	ik kijken ook al want het balk 
A: 	die met het schotelt aan de voorkant 
A: 	ja 
A: 	dat zijn twaalf 
B: 	deze hebben het bijzettafelt eraan en dan aan de ander kant dat ding wat eruit komen 
B: 	l 
A: 	even kijken dit zijn de het kop met de de staaf aan de zijkant waar de spijker inslaan zijn 
A: 	met het schotelt aan de rechterkant ja 
B: 	deze hebben het bijzettafelt 
A: 	ja twaalf 
A: 	dit zijn die met het schotelt aan de rechterkant en dan de balk aan de linkerkant met spijker 
A: 	ja vier 
