A: 	hier zitten twee rechthoek steken aan de rechterkant uit zo boven elkaar en aan de bovenkant een beetje zo'n trapeze-achtig 
A: 	ja 
B: 	gaan zo goed 
B: 	ja 
B: 	ja en dan links aan de onderkant nog een gehoekt poo 
B: 	ja ja ja 
B: 	yes dat zijn n 
A: 	ja twee 
A: 	dit zijn met dat IStekentje aan de Recherkant in die trapeze 
B: 	deze hebben het koffiefilter achtig ding bovenop en de twee staf aan de zijkant 
B: 	ja 
A: 	ja 
A: 	dat zijn twaalf 
B: 	yes dat zijn f 
A: 	dit zijn het IStekentje aan de zijkant 
A: 	ja twee 
B: 	deze hebben het koffiefilter en de twee balk aan de rechterkant 
B: 	ja dat zijn n 
B: 	dit zijn de koffiefilter en de twee gelijk balk 
