A: 	ja 
A: 	ik weten welk het zijn 
A: 	nummer twee 
B: 	ja dit lijken eigenlijk een beetje een soort van op een hond die helemaal zo in de grond aan het eten zijn of zo die hebben een staart op het 
B: 	op het lijfje zitten met een rond dop en dan twee poo aan de zijkant en dan nog een vlak aan de zijkant 
B: 	dus hij hebben op de bovenkant hebben die een soort van spijker of schroef lijken het wel 
B: 	ja ja 
B: 	twee poo 
B: 	ja 
B: 	ja 
A: 	dit zijn dat ding met die twee armp link met die blok die groot worden 
A: 	en dan zo'n soort Antenne op op het hoofd 
A: 	ja 
A: 	nummer negen 
A: 	dit zijn dat ding met dat vierkan voor en twee armp link 
A: 	met van klein naar groot worden blok en die antenne bovenop 
B: 	ja 
B: 	dat zijn G 
B: 	dit zijn dat omgekeerd hond 
A: 	ja 
A: 	kijken waar die zijn ja 
A: 	nummer één 
A: 	dat ding met die antenne erop en die twee armp met blok 
A: 	link 
B: 	oké 
B: 	dat zijn D 
B: 	dit zijn dat omgekeerd hond 
B: 	oké 
B: 	dat zijn B 
